tconst	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
tt0021153	Monte Carlo	Monte Carlo	1930	90	Comedy,Musical,Romance	6.7	1364
tt0021156	Morocco	Morocco	1930	92	Drama,Romance	7.0	7055
tt0021165	Murder!	Murder!	1930	104	Crime,Mystery,Thriller	6.3	6583
tt0021189	Not So Dumb	Not So Dumb	1930	76	Comedy,Romance	5.8	1125
tt0021309	The Story of the Fox	Le roman de Renard	1937	63	Adventure,Animation,Comedy	7.7	1415
tt0021331	The Blood of a Poet	Le sang d'un poète	1932	55	Fantasy	7.3	6984
tt0021409	Under the Roofs of Paris	Sous les toits de Paris	1930	96	Comedy,Drama,Musical	7.1	2383
tt0021505	The Unholy Three	The Unholy Three	1930	72	Crime,Drama,Romance	6.7	1329
tt0021508	Up the River	Up the River	1930	92	Comedy,Crime,Drama	5.9	1295
tt0021542	Westfront 1918	Westfront 1918: Vier von der Infanterie	1930	75	Drama,Romance,War	7.4	2230
tt0021549	Whoopee!	Whoopee!	1930	93	Comedy,Musical,Romance	6.4	1090
tt0021571	Earth	Zemlya	1930	75	Drama	7.2	6021
tt0021577	L'Age d'Or	L'âge d'or	1930	60	Comedy,Drama	7.2	14265
tt0021622	Arrowsmith	Arrowsmith	1931	108	Drama	6.1	1811
tt0021633	The Bachelor Father	The Bachelor Father	1931	90	Comedy,Drama,Romance	6.4	1205
tt0021635	Bad Girl	Bad Girl	1931	90	Drama,Romance	6.5	1450
tt0021636	Bad Sister	Bad Sister	1931	68	Drama	6.2	1387
tt0021668	The Black Camel	The Black Camel	1931	71	Crime,Mystery,Thriller	6.7	1567
tt0021673	Blonde Crazy	Blonde Crazy	1931	79	Comedy,Crime,Drama	7.1	2148
tt0021730	The Champ	The Champ	1931	86	Drama,Family,Sport	7.3	3335
tt0021739	La Chienne	La chienne	1931	91	Crime,Drama	7.5	4542
